ITM_ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference;Supplier reference;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
7688619;1;PRESENCE - Joomla One Page Parallax Template;CMS Themes,Joomla,Creative,Portfolio;63;;48;0;;;;;7688619;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://demo.shinetheme.com/presence/&itm=7688619"" target=""_blank"">Demo</a></p><p>Sale:56</p><p>Columns: 4+</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: Joomla 3.3.x, Joomla 3.2.x, Joomla 3.1.x, Joomla 3.0.3, Joomla 3.0.2</p><p>Compatible: Bootstrap 3.x</p><p>High Resolution: No</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;Responsive Joomla Template, beautiful joomla template, boostrap joomla template, creative joomla template, joomla, joomla build with less, model joomla template, onepage joomla template, parallax, parallax joomla template, portfolio joomla template, video background joomla;Theme4u шаблон для сайта PRESENCE - Joomla One Page Parallax Template;CMS Themes,Joomla,Creative,Portfolio;PRESENCE - Joomla One Page Parallax Template - CMS Themes,Joomla,Creative,Portfolio;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/90844415/presence_preview.__large_preview.png;0;;0;new;0;0;0;0;0;0;0;0
7638434;1;STYZO - Responsive One Page MODX Theme;CMS Themes,MODX Themes;66;;51;0;;;;;7638434;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://gj-designs.in/styzo-modx/&itm=7638434"" target=""_blank"">Demo</a></p><p>Sale:25</p><p>Columns: 1</p><p>Browsers: IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome, IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: MODX Revolution 2.2.x</p><p>Compatible: Bootstrap 3.x</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: CSS Files, JS Files</p>";;beautiful, bootstrap, clean, creative, css3, html5, jquery, modern, modx, one page, portfolio, responsive, unique;Theme4u шаблон для сайта STYZO - Responsive One Page MODX Theme;CMS Themes,MODX Themes;STYZO - Responsive One Page MODX Theme - CMS Themes,MODX Themes;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/102548168/01_preview.__large_preview.PNG;0;;0;new;0;0;0;0;0;0;0;0
7645155;1;Effortless - Multi-purpose Joomla Template;CMS Themes,Joomla,Corporate,Business;63;;48;0;;;;;7645155;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://bdthemes.com/demo/joomla/effortless/&itm=7645155"" target=""_blank"">Demo</a></p><p>Sale:313</p><p>Columns: 4+</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: Joomla 3.3.x, Joomla 3.2.x, Joomla 3.1.x, Joomla 3.0.3, Joomla 3.0.2</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;K2 component, Master Slider, bdthemes, clean design, corporate, flat design, fresh design, joomla 3.2, multi-purpose, responsive, revolution slider, roksprocket, shortcode ultimate, uikit 2, warp framework 7;Theme4u шаблон для сайта Effortless - Multi-purpose Joomla Template;CMS Themes,Joomla,Corporate,Business;Effortless - Multi-purpose Joomla Template - CMS Themes,Joomla,Corporate,Business;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/95287675/Preview_01.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
7630692;1;Lawyered Group - Responsive Retina Drupal One-Page;CMS Themes,Drupal,Corporate;63;;48;0;;;;;7630692;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://3jon.com/demo/themeforest/drupal/lg/&itm=7630692"" target=""_blank"">Demo</a></p><p>Sale:12</p><p>Columns: 3</p><p>Browsers: IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: Drupal 7.2.x</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;Lg, accountant, architecture, brown, business, engineer, foundation, law firm, lawyer, minimal, red, restaurant, school, side menu, simple;Theme4u шаблон для сайта Lawyered Group - Responsive Retina Drupal One-Page;CMS Themes,Drupal,Corporate;Lawyered Group - Responsive Retina Drupal One-Page - CMS Themes,Drupal,Corporate;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/90176233/preview.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
7619346;1;Responsive e-commerce joomla template ZT Colias;CMS Themes,Joomla;68;;53;0;;;;;7619346;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://zt-colias.zoodemo.com/&itm=7619346"" target=""_blank"">Demo</a></p><p>Sale:31</p><p>Columns: 3</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: Joomla 3.3.x, Joomla 3.2.x, Joomla 3.1.x, Joomla 3.0.3, Joomla 3.0.2, Joomla 2.5.x</p><p>Compatible: Facebook, Bootstrap 3.x</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;blog, clothing, e-commerce, e-shop, ecommerce joomla template, joomla e-commerce, joomla joomshopping templates, premium, responsive template, shop, shop theme, store, zo2 framework;Theme4u шаблон для сайта Responsive e-commerce joomla template ZT Colias;CMS Themes,Joomla;Responsive e-commerce joomla template ZT Colias - CMS Themes,Joomla;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/90120915/zt_colias_590x300.__large_preview.png;0;;0;new;0;0;0;0;0;0;0;0
7368860;1;Alpine - Responsive One Page Joomla Template;CMS Themes,Joomla,Creative;58;;43;0;;;;;7368860;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://dasinfomedia.com.au/mojoomla/joomla/alpine&itm=7368860"" target=""_blank"">Demo</a></p><p>Sale:154</p><p>Columns: 1</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: Joomla 3.3.x, Joomla 3.2.x, Joomla 3.1.x, Joomla 3.0.3, Joomla 3.0.2, Joomla 2.5.x, Joomla 2.5.11, Joomla 2.5.9, Joomla 2.5.8, Joomla 2.5.7, Joomla 2.5.5, Joomla 2.5</p><p>Compatible: VirtueMart 2.0.14, VirtueMart 2.0.x</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;agency, ajax portfolio, business, creative, fashion, multipurpose, one page, onepage, parallax, photography, portfolio, timeline, web agency;Theme4u шаблон для сайта Alpine - Responsive One Page Joomla Template;CMS Themes,Joomla,Creative;Alpine - Responsive One Page Joomla Template - CMS Themes,Joomla,Creative;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/90381506/01_preview.__large_preview.png;0;;0;new;0;0;0;0;0;0;0;0
7578621;1;Evolve - MultiPurpose, Creative Joomla Template;CMS Themes,Joomla,Creative;63;;48;0;;;;;7578621;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://demo.shinetheme.com/evolve/index.php&itm=7578621"" target=""_blank"">Demo</a></p><p>Sale:135</p><p>Columns: 4+</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: Joomla 3.2.x, Joomla 3.1.x, Joomla 3.0.3, Joomla 3.0.2</p><p>High Resolution: No</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;clean, corporate, creative, design, elegant, marketing, modern, onepage, personal website, photography, slider;Theme4u шаблон для сайта Evolve - MultiPurpose, Creative Joomla Template;CMS Themes,Joomla,Creative;Evolve - MultiPurpose, Creative Joomla Template - CMS Themes,Joomla,Creative;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/91533940/evolve_preview.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
7584209;1;Nestor - Responsive Drupal Theme;CMS Themes,Drupal,Corporate;63;;48;0;;;;;7584209;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://nestor.leaftree.pt&itm=7584209"" target=""_blank"">Demo</a></p><p>Sale:148</p><p>Columns: 3</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: Drupal 7.2.x</p><p>Compatible: Bootstrap 3.x</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;bootstrap, clean, corporate, css3, drupal, html5, jquery, modern, multipurpose, parallax, responsive, sticky header;Theme4u шаблон для сайта Nestor - Responsive Drupal Theme;CMS Themes,Drupal,Corporate;Nestor - Responsive Drupal Theme - CMS Themes,Drupal,Corporate;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/103770939/TFpreview.__large_preview.png;0;;0;new;0;0;0;0;0;0;0;0
7581626;1;John - One Page Joomla Portfolio Template;CMS Themes,Joomla,Creative,Portfolio;63;;48;0;;;;;7581626;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://demo.gavick.com/joomla25/john/&itm=7581626"" target=""_blank"">Demo</a></p><p>Sale:17</p><p>Columns: 2</p><p>Browsers: IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: Joomla 3.3.x, Joomla 2.5.x</p><p>Layout: Responsive</p><p>Files Included: Layered PSD</p>";;Gavick, GavickPro, one page joomla, one page theme, photography template, portfolio joomla template;Theme4u шаблон для сайта John - One Page Joomla Portfolio Template;CMS Themes,Joomla,Creative,Portfolio;John - One Page Joomla Portfolio Template - CMS Themes,Joomla,Creative,Portfolio;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/89665295/john_preview.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
7563304;1;Tredd Studio - Responsive One Page MODX Theme;CMS Themes,MODX Themes;66;;51;0;;;;;7563304;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://rstredd-studio.rajsuman.modxcloud.com/&itm=7563304"" target=""_blank"">Demo</a></p><p>Sale:6</p><p>Columns: 1</p><p>Browsers: IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome, IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: MODX Revolution 2.2.x</p><p>Compatible: Bootstrap 2.3.x</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: CSS Files, JS Files</p>";;beautiful, bootstrap, clean, creative, css3, html5, jquery, modern, modx, one page, portfolio, responsive, unique;Theme4u шаблон для сайта Tredd Studio - Responsive One Page MODX Theme;CMS Themes,MODX Themes;Tredd Studio - Responsive One Page MODX Theme - CMS Themes,MODX Themes;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/89441242/01_preview.__large_preview.PNG;0;;0;new;0;0;0;0;0;0;0;0
