ITM_ID;Active (0/1);Name *;Categories (x,y,z...);Price tax excluded or Price tax included;Tax rules ID;Wholesale price;On sale (0/1);Discount amount;Discount percent;Discount from (yyyy-mm-dd);Discount to (yyyy-mm-dd);Reference;Supplier reference;Supplier;Manufacturer;EAN13;UPC;Ecotax;Width;Height;Depth;Weight;Quantity;Minimal quantity;Visibility;Additional shipping cost;Unity;Unit price;Short description;Description;Tags (x,y,z...);Meta title;Meta keywords;Meta description;URL rewritten;Text when in stock;Text when backorder allowed;Available for order (0 = No, 1 = Yes);Product available date;Product creation date;Show price (0 = No, 1 = Yes);Image URLs (x,y,z...);Delete existing images (0 = No, 1 = Yes);Feature(Name:Value:Position);Available online only (0 = No, 1 = Yes);Condition;Customizable (0 = No, 1 = Yes);Uploadable files (0 = No, 1 = Yes);Text fields (0 = No, 1 = Yes);Out of stock;ID / Name of shop;Advanced stock management;Depends On Stock;Warehouse
6854208;1;3 in 1 - NoXilie Multipurpose Responsive WordPress;WordPress,Creative;58;;43;0;;;;;6854208;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://themes.bartiistudio.com/wp/noxilie/&itm=6854208"" target=""_blank"">Demo</a></p><p>Sale:28</p><p>Columns: 4+</p><p>Browsers: IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 3.9, WordPress 3.8</p><p>High Resolution: No</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;business, colors, creative, features, multipurpose, onepage, parallax, portfolio, responsive, shortcodes, slider, theme options, unique, widgets, wordpress;Theme4u шаблон для сайта 3 in 1 - NoXilie Multipurpose Responsive WordPress;WordPress,Creative;3 in 1 - NoXilie Multipurpose Responsive WordPress - WordPress,Creative;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/88929567/1.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
6895743;1;Nation Hotel - Responsive WordPress Theme;WordPress,Retail,Travel;63;;48;0;;;;;6895743;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://raybreaker-theme.com/wpnation/&itm=6895743"" target=""_blank"">Demo</a></p><p>Sale:739</p><p>Columns: 2</p><p>Browsers: IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 4.0, WordPress 3.9, WordPress 3.8, WordPress 3.7, WordPress 3.6</p><p>Compatible: WPML</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;B&B, accommodation, apartment, booking, holiday, hostel, hotel theme, inn, motel, reservation system, resort, responsive, tourism, travel, vacation;Theme4u шаблон для сайта Nation Hotel - Responsive WordPress Theme;WordPress,Retail,Travel;Nation Hotel - Responsive WordPress Theme - WordPress,Retail,Travel;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/102487623/wpnation-preview-v12.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
6959617;1;Dubstep - Premium Music WordPress Theme;WordPress,Entertainment,Music and Bands;73;;58;0;;;;;6959617;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://www.cssigniter.com/dubstep&itm=6959617"" target=""_blank"">Demo</a></p><p>Sale:174</p><p>Columns: 4+</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 4.0, WordPress 3.9, WordPress 3.8</p><p>Compatible: WPML, WooCommerce 2.2.x, WooCommerce 2.1.x, Bootstrap 3.x</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: Layered PSD, PHP Files, HTML Files, CSS Files, JS Files, PSD</p>";;bootstrap, discography, dj, entertainment, events, jquery, music, responsive, retina, tracklisting, wordpress;Theme4u шаблон для сайта Dubstep - Premium Music WordPress Theme;WordPress,Entertainment,Music and Bands;Dubstep - Premium Music WordPress Theme - WordPress,Entertainment,Music and Bands;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/82425159/preview.__large_preview.png;0;;0;new;0;0;0;0;0;0;0;0
6941132;1;RoyalPress bbPress Forum Theme;WordPress,Miscellaneous;63;;48;0;;;;;6941132;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://assets.themeroyals.com/royalpress/&itm=6941132"" target=""_blank"">Demo</a></p><p>Sale:15</p><p>Columns: 2</p><p>Browsers: IE7, IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 4.0, WordPress 3.9, WordPress 3.8, WordPress 3.7, WordPress 3.6, WordPress 3.5</p><p>Compatible: bbPress 2.5.x, bbPress 2.4.x, bbPress 2.3.x</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;bbpress, clean, community, forum, knowledgebase, modern, responsive, support, white;Theme4u шаблон для сайта RoyalPress bbPress Forum Theme;WordPress,Miscellaneous;RoyalPress bbPress Forum Theme - WordPress,Miscellaneous;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/106857292/Preview/01_preview1.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
6916960;1;Artikulo Premium Magazine Theme;WordPress,Blog Magazine,News Editorial;58;;43;0;;;;;6916960;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://theme-titans.com/wordpress/artikulo/&itm=6916960"" target=""_blank"">Demo</a></p><p>Sale:67</p><p>Columns: 2</p><p>Browsers: IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 3.8</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;blog, flat, magazine, responsive, simple, woocommerce;Theme4u шаблон для сайта Artikulo Premium Magazine Theme;WordPress,Blog Magazine,News Editorial;Artikulo Premium Magazine Theme - WordPress,Blog Magazine,News Editorial;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/90968543/01_preview.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
6910756;1;Omega - WordPress Job Portal & Candidate Database;WordPress,Corporate,Directory & Listings;73;;58;0;;;;;6910756;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://uouapps.com/wp/omega&itm=6910756"" target=""_blank"">Demo</a></p><p>Sale:256</p><p>Columns: 4+</p><p>Browsers: IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 4.0, WordPress 3.9, WordPress 3.8, WordPress 3.7</p><p>Compatible: WPML, WooCommerce 2.1.x</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;advanced search, application, candidate db, career, database, empleo, employment, filters, job listing, job portal, jobs, listing, resume, vcard, web 2.0;Theme4u шаблон для сайта Omega - WordPress Job Portal & Candidate Database;WordPress,Corporate,Directory & Listings;Omega - WordPress Job Portal & Candidate Database - WordPress,Corporate,Directory & Listings;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/107138842/01_preview.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
6933279;1;iCommerce - Multi-Purpose WooCommerce Theme;WordPress,eCommerce,WooCommerce;73;;58;0;;;;;6933279;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://shinetheme.com/demosd/icommerce/&itm=6933279"" target=""_blank"">Demo</a></p><p>Sale:140</p><p>Columns: 4+</p><p>Browsers: IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 3.8, WordPress 3.7, WordPress 3.6</p><p>Compatible: WPML, WooCommerce 2.0.x, WooCommerce 1.6.x</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;Revslider, bootstrap, icommerce, page builder, responsive, visual composer, woocomerce, wordpress theme;Theme4u шаблон для сайта iCommerce - Multi-Purpose WooCommerce Theme;WordPress,eCommerce,WooCommerce;iCommerce - Multi-Purpose WooCommerce Theme - WordPress,eCommerce,WooCommerce;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/106988480/icommerce_preview.__large_preview.png;0;;0;new;0;0;0;0;0;0;0;0
6928979;1;Wharton: A Big & Bold WordPress Blog Theme;WordPress,Blog Magazine,Personal;53;;38;0;;;;;6928979;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://whartonwp.wpengine.com&itm=6928979"" target=""_blank"">Demo</a></p><p>Sale:209</p><p>Columns: 2</p><p>Browsers: IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 4.0, WordPress 3.9, WordPress 3.8</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;blocks, blog, blogging, bold, clean, flat, functional, gallery, journal, meanthemes, modern, photography, simple;Theme4u шаблон для сайта Wharton: A Big & Bold WordPress Blog Theme;WordPress,Blog Magazine,Personal;Wharton: A Big & Bold WordPress Blog Theme - WordPress,Blog Magazine,Personal;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/82132279/preview-wharton.__large_preview.jpg;0;;0;new;0;0;0;0;0;0;0;0
6804946;1;Podcaster - Multimedia WordPress Theme;WordPress,Blog Magazine;58;;43;0;;;;;6804946;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://themestation.co/demo/podcaster/&itm=6804946"" target=""_blank"">Demo</a></p><p>Sale:300</p><p>Columns: 2</p><p>Browsers: IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 3.9, WordPress 3.8</p><p>Compatible: Bootstrap 3.x</p><p>High Resolution: Yes</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;audio, blogging, gallery, jquery, multimedia, oEmbed, podcast, post formats, screencast, soundcloud, video, wordpress theme;Theme4u шаблон для сайта Podcaster - Multimedia WordPress Theme;WordPress,Blog Magazine;Podcaster - Multimedia WordPress Theme - WordPress,Blog Magazine;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/80623232/Screenshots/0001-themeforest-banner.__large_preview.png;0;;0;new;0;0;0;0;0;0;0;0
5369718;1;Sapphire - One Page Wordpress Template;WordPress,Miscellaneous;58;;43;0;;;;;5369718;;;;;;;;;;;100;1;;;;;"<p><a href=""http://www.theme4u.ru/prev.php?frm=http://templates.crtvmax.com/sapphire-wp/&itm=5369718"" target=""_blank"">Demo</a></p><p>Sale:56</p><p>Columns: 4+</p><p>Browsers: IE8, IE9, IE10, IE11, Firefox, Safari, Opera, Chrome</p><p>Software: WordPress 3.9, WordPress 3.8, WordPress 3.7, WordPress 3.6, WordPress 3.5</p><p>Compatible: Bootstrap 2.3.x, Bootstrap 2.2.2, Bootstrap 2.2.1, Bootstrap 2.1.1, Bootstrap 2.1.0, Bootstrap 2.0.4, Bootstrap 2.0.3, Bootstrap 2.0.2, Bootstrap 2.0.1, Bootstrap 2.0</p><p>High Resolution: No</p><p>Layout: Responsive</p><p>Files Included: PHP Files, CSS Files, JS Files</p>";;app, blue, book, clean, download, gallery, green, landing, modern, one page, orange, red, software, wordpress theme, yellow;Theme4u шаблон для сайта Sapphire - One Page Wordpress Template;WordPress,Miscellaneous;Sapphire - One Page Wordpress Template - WordPress,Miscellaneous;;;Current supply. Ordering availlable;1;;;1;http://0.s3.envato.com/files/89936102/01_Splash.__large_preview.png;0;;0;new;0;0;0;0;0;0;0;0
